Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
103,Kyle Monangai,RB,33,Chicago Bears,,,,,,,,,,6
106,Aaron Jones,RB,34,Minnesota Vikings,42.5,299.5,0.5,725.5,3.5,0,0,6,141.75,7
109,Jaylen Warren,RB,35,Pittsburgh Steelers,39.5,275.5,0.5,575.5,4.5,0,0,6,128.85,7
112,Jacory Croskey-Merritt,RB,36,Washington Commanders,,,,,,,,,,7
113,Kenneth Gainwell,RB,37,Tampa Bay Buccaneers,,,,,,,,,,7
116,Jonathon Brooks,RB,38,Carolina Panthers,,,,,,,,,,7
128,Jordan Mason,RB,39,Minnesota Vikings,12.5,75.5,0.5,600.5,4,0,0,6,94.85,8
129,Isiah Pacheco,RB,40,Detroit Lions,20.5,135.5,0.5,725.5,4.5,0,0,6,120.35,8
131,Tyjae Spears,RB,41,Tennessee Titans,27.5,200.5,0.5,425.5,3,0,0,6,91.35,8
135,Rachaad White,RB,42,Washington Commanders,,,,,,,,,,8
136,Woody Marks,RB,43,Houston Texans,,,,,,,,,,8
138,Tyler Allgeier,RB,44,Arizona Cardinals,,,,,,,,,,9
140,Tyrone Tracy Jr.,RB,45,New York Giants,27.5,200.5,0.5,725.5,4,0,0,6,127.35,9
142,Zach Charbonnet,RB,46,Seattle Seahawks,,,,,,,,,,9
145,Chris Rodriguez Jr.,RB,47,Washington Commanders,,,,,,,,,,9
14,Brock Bowers,TE,1,Las Vegas Raiders,95.5,1000.5,5,0,0,0,0,4,173.8,1
16,Trey McBride,TE,2,Arizona Cardinals,85.5,925.5,4.5,0,0,0,0,4,158.3,1
51,Tyler Warren,TE,3,Indianapolis Colts,50.5,525.5,4.5,0,0,0,0,4,100.8,2
52,Colston Loveland,TE,4,Chicago Bears,45.5,575.5,4,0,0,0,0,4,100.3,2
72,Tucker Kraft,TE,5,Green Bay Packers,47.5,625.5,3.5,0,0,0,0,4,103.3,2
73,George Kittle,TE,6,San Francisco 49ers,65.5,900.5,6.5,0,0,0,0,4,157.8,3
74,Sam Laporta,TE,7,Detroit Lions,62.5,675.5,6.5,0,0,0,0,4,133.8,3
75,Harold Fannin Jr.,TE,8,Cleveland Browns,,,,,,,,,,3
